corrected_comment,rating,sentiment
"Máy Fold 4 bị lỗi bản lề và nguồn phải đi bảo hành, nên mua thêm server để dùng cho công viện. Mới mua 10 ngày mà giá đá giảm hơn 2 triệu, sạc 45w thì lỗi. Cảm thấy buồn cho Sam.",3,0
"Vừa mua máy ngày 29/9 giá 23 triệu thì 3 ngày sau giảm còn 21 tr790k, lúc mua hỏi nhân viên thì bảo ko giảm thêm nữa. Đã từng mua gần trăm triệu và luôn tin tưởng CTD, nhưng từ nay về sau mình và gia đình sẽ ko ủng hộ CTD, vì làm ăn kì cục quá.",3,0
Nghe hơi nhỏ.,3,0
Máy rất ổn.,5,1
Máy hiện vẫn dùng tốt.,4,1
Cho em hỏi là đc tặng 4 tháng youtube premium mà s e ko đc ạ.,3,0
Chẹp chẹp ok?,5,1
Camera trước chối éo chịu được. Mờ. Không bằng máy giá thấp hơn.,4,1
"Đã lần thứ 2 đi bảo hành và ko thành công, giờ phải dùng máy hỏng của thế giới di động bán.",1,0
Sản phẩm dùng ổn định.,5,1
Oke tot .,5,1
"Đt dùng rất tốt, nhanh, mượt, pin ổn, màn hình đẹp. Đặc biệt hài lòng với thái độ của các nhân viên ở TPHCM 386 lê lợi, TP.",5,1
Ok !,4,1
Tuyet voi nha cac ban .,5,1
Tuyệt vời.,5,1
Cũng tốt mà cảm nhận màn hình vuốt ko mượt bằng note 10e.,5,1
Hình ảnh còn mờ lắm.,3,0
Tuyệt vời lắm ạ! .,5,1
Tạm thời không có gì để chê.,5,1
Rất tốt.,5,1
Ok !,5,1
Ok !,5,1
Máy dùng ok.,5,1
Ok !,5,1
Khả năng chống nước không như tiêu chuẩn đưa ra.,1,0
Sản phẩm tốt.,5,1
"Dùng khá tốt, không chơi game, chủ yếu nghe nhạc nên ổn áp. Note khá nhiều nhưng cây bút hay bị mất kết nối quá. Kết nối lại khá nhanh nên ổn.",5,1
Mua mới 2 ngày tuột giá 1 trái 3 tay.,5,1
Mới mua ngày 29/4 22tr990. Đến hôm nay 22tr390. Mà trước đó hỏi nhân viên bảo sang 1/5 hết khuyến mãi. Hóa ra hết km là giảm sâu hơn.. Cảm giác khó chịu !,4,1
Ok !,4,1
"Tiền nào của đó, tùy cảm nhận và sở thích mỗi người mọi thứ hiện tại về sản phẩm rất ok nên mua.",4,1
Zoom đỉnh.,5,1
Hàng đẹp.,5,1
Điện thoại dùng tốt (cô đang sử dụng nhưng chưa thao tác hết các công dụng).. Máy 0k 0k.,5,1
Rất tốt.,5,1
Sản phẩm tốt.,4,1
"Đt tốt, nhanh, mượt ạ.",5,1
"Mình chưa khám phá hết các chức năng.Thấy tuyệt nhất là bút ghi chú, rất hợp với mong muốn của mình. Góp ý chút là cá nhân mình thấy cái nhận diện khuôn mặt hơi chậm, mình giơ mặt các kiểu mà nhiều khi ko nhận lại phải dùng mật khẩu để mở máy. Trc mình dùng Note 8 thấy cái nhận diện nhạy hơn.",4,1
Máy OK lắm.,5,1
ok?,5,1
ok?,4,1
ok?,5,1
Sản phẩm ok?,4,1
Ok !,5,1
"Mới mua S23 Ultra nguyên box, 3 ngày :( Thành thật khuyên các bạn không nên mua S23 Ultra vì dòng này bị lỗi kết nối Wifi cực tệ và cực chậm với Wifi4, Wifi5, dù cùng 1 mạng thì các máy Oppo, iphone nhà mình vẫn kết nối ầm.. Chạy Speedtest thấy tốc độc thua hặn so với Oppo, Iphone, có khi máy Oppo load đươc 30Mb thì S23 Ultra chỉ load đươc 2Mb =(( lãi này trên mấi này diễi Reddit, Twitter họ cúy rồi nhưng Samsung vẫn chưa xử lý được. Mua máy mới tinh mà trong tháng đấu phảmấi mấhắn 20% khi trả máo cáy, quá ủi day cho 1 chiếy điện thoại xịn.. ! Trên Reddit có đưá cáo cáo cáo so so so so la la la la la la la la la la la la la la la o cáo so so so so so so so la la la la la o so so so la la la la la la la la la la la so o o o so so so so so so so so la la la la la so o caá cái so so so so so so so o s00r suver dentated s8080waptv nays: 23.000.Online card day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day day o dươong dung dung dung dung dêo o o so o so so o so la o so o so la la la o so o so so o so o so o so o so la so o so o so la o so o so la o so la so la so o so o so o so o so o so",1,0
Good !,5,1
"Êm, đẹp, mượt, pin trâu, nhân viên nhiệt tình. Nên mua nha ... .",5,1
Mlem Mlem... .,5,1
"Mua hồi 17.2 mà tiếc chả bán phụ kiện ốp lưng S23 ultra hiệu spigen, với không có dán màn hình nữa chứ?",5,1
Mới lấy 1 ổ USB mà tiếc là bên trong chưa có dán màn nhỉ.,5,1
"Mua máy từ 28/5.. Máy đẹp nhưng khả năng bắt wifi quá yếu dù ngồi ngay cạnh wifi, đã để thử các máy sung cũ kế bên nhưng các máy khác vẫn chạy được trừ A55. Một điểm nữa là hình như mình mua nhầm máy lỗi hay sao ấy mà cảm ứng lúc được lúc không.. Sản phẩm gần 10 tr mà tệ thật sự.",2,0
Cảm ứng vân tay không nhạy .,4,1
"Thiết kế đẹp, animation mượt mà ổn định phân khúc, chip mới chưa tối ưu một số game, pin trâu sạc nhanh.",5,1
Dốt xài ok ạ.,5,1
Tốt .,4,1
Sản phẩm tốt trong tầm giá .,5,1
"Máy xài tốt mọi thứ, trừ cái mở khóa bằng vân tay ko nhạy, vân tay rất tệ.Giống y chang cái IPhone 5s hồi xưa mình sử dụng vậy lúc được lúc không.",4,1
Tuyệt .,5,1
"Điện thoại lỗi do kết nối đc mạng, đã đổi sang con khác vẫn bị. Ae cân nhắc trước mua.",1,0
Bạn nhân viên tên Tùng hổ trợ cài đặt chuyển dữ liệu rất nhiệt tình.,5,1
Pin trâu bò.,5,1
"Sản phẩm kem mua về sài chút nóng hổi xem facbook hình đứng tiếng vẫn nói, chơi game bao nóng?",1,0
"Trước đây đã dùng M51, rất tốt luôn giờ ra M53 là chọn luôn khỏi phân vân dòng khác.",4,1
"ĐTDĐ: tệ sai lầm khi sử dụng M54 đang góp chứ có tiền đổi cái khác ngay. Thua xa A51 của mình sửa lại.. Chạy ko mượt cảm ứng thì chạm loạn xạ, khi sử dụng khoảng 10 ngày là ko thích rồi.. xui ngay lúc tết nguyên đáng nên ko đổi được.Đổi được là đổi rồi. Nói chung là ko bao giờ quay lại hàng M nữa 1 sao.",1,0
Hàng dễ bị lỗi.,1,0
Cảm biến vân tay và nhận diện khuôn mặt đều hoạt động không tốt.,2,0
Sản phẩm đáng mua!,4,1
"Bắt sống wifi có vấn đề, nhiều lúc tự động mất wifi, điện thoại trước dùng không bị như vậy.",3,0
"Lướt khoảng 10 phút là máy nóng, sạc pin cũng nóng quá trời, còn hay bị đứng màn hình nữa, buồn thiệt.",3,0
"Máy lỗi màn hình, màn hình thay đổi từ ngả tông trắng sang tông vàng khi nghiêng và thay đổi góc nhìn điện thoại.",2,0
"Hơn 2 tháng sử dụng máy chạy ok, rất mượt nói chung không bị lỗi gì hết.",5,1
"Lướt máy khoảng 10, 15 phút máy nóng kinh khủng, sạt pin cũng làm máy và cục sạc nóng phải rút ra để nguội rồi sạc tiếp.",2,0
"Dùng được nửa tháng, trừ PIN nhanh hết.. . Có cách nào khắc phục chị ạ?.",3,0
Ok ổn.,5,1
M54 chạy rất mượt rất ok. Mình đã mua tại Thế giới di động.,5,1
"Máy chức năng phát hiện chữ như rùa, khởi động lại máy máy thì lâu hơi lâu.",2,0
Sản phẩm đúng thất vọng.. Mua khoảng 1 tháng bắt đầu bấm bấm ko nhạy. Hiện tại thì sạc PIN lúc vô lúc không. Cảm thấy Samsung đang đi lùi.,2,0
"Sản phẩm khá Ổn trong tầm Giá, Tốt.",4,1
"Mua từ tháng 11, bán phím không nhạy, chậm và đã thấy đơ máy. Không có tính năng nổi bật gì . Mn k nên mua.",2,0
"Tuần rồi tôi có ghé cửa hàng thế giới di động số 1741 1742 tỉnh lộ 8 xã Hòa Phú, số bao nhiêu tôi không nhớ rõ mà cửa hàng nằm ở ngã 4 Hòa Phú, đối diện UBND xã Hòa Phú để mua đồ sếp, samsung M54, giờ cần sử dụng tai nghe thì mới biết đây không có lỗ ghim tai nghe riêng mà phải ghim chung với lỗ sạc rất bất tiện. Mà trước đó khi xem mua máy thì nhân viên và quản lý không ai tư vấn hay nhắc tới. Xem máy ít tiền thì tư vấn thái độ, mua máy cao thì tư vấn khác liền. Ép mua quá trời mua sạc, dán, dự phòng, sim tùm lum moi tiền tôi mà lại không tư vấn bề máy không có lỗ ghim tai nghe. Sao không tư vấn tai nghe không dây thay gì tư vấn sạc dự phòng, vậy thử hỏi có quan tâm lợi ích khách hay không.. Tôi không hài lòng và sẽ không quay lại cái cửa hàng này nữa vì nhân viên và quản lý rất thái độ và không để ý tới lợi ích quyền lợi của tôi.",1,0
Mình mua máy này cuối tháng 12 2023.. Chụp hình bị kiểu hình bị cắt ngang. Vừa nãy đang gọi zalo thì màn hình sọc sọc xong tắt nguồn. Khỏi động lại thì chờ cả gần 5p. Cứ tưởng máy hư. Xong báo UI uodate phần mềm.. Chờ update lại gần 5p. Máy chưa mua đc 1 tháng.,3,0
"Mua về sớm hơn 1 tuần sạc ko vô. Đi ra đổi cái khác. Lúc mua tư vấn đủ điều, lúc đổi thì làm qua loa. Điện thoại mới của ta. Lột luôn viền keo của cái máy.",1,0
"Mới mua về dùng tắt nguồn 3 lần, hiện tại dán cường lực xong thì cảm ứng loạn xạ, chơi mượt mà vi hết, đánh game di chuyển lúc đi lúc không, viết văn bản thì chử không mượt, nhảy loạn xạ.",3,0
"Mới dùng được 5 ngày, máy hay tự khởi động lại hơi thất vọng về máy.",2,0
"1 tháng đầu vài lần tắt nguồn, qua tháng thứ 2 tắt nguồn bắt quạu luôn, chưa bao giờ mua sản phẩm của điện máy xanh mà thất vọng đến vậy.",1,0
"Máy chạy ổ định, pin tốt.",5,1
"Máy dùng ổn, tuy nhiên hay tự động, tắt nguồn và không dùng ứng dụng gì cũng hao pin.",5,1
"Mua được 2 tuần, máy lỗi nhiều, nóng tụt pin. Ko thể chấp nhận được với con máy hơn chục củ.",2,0
"Moi mua dc vai tieng luon ak, doc danh gia sao ma nan qua vay ne.",3,0
"Thật sự thất vọng với 1 con đực 12tr, nóng nhanh hết pin, và rất lâu, cam chỉ tạm được thật sự thất vọng mua xài chưa tới 1 tháng nữa.",1,0
"1.. Máy dành cho hệ người sắp giàu muốn xài dòng S nhìn.. 2. Nếu xài liên tục thì mới mau hết pin chứ lâu lâu xài thì pin cũng ok.. 3. Màu xanh mint độc quyền siêu đẹp - mặt lưng nên xinh lắm. Nhưng mà cũng vì mặt lưng kính vs là loại Fe nên xài nóng lắm nha.4. Chụp ảnh xa, rõ đẹp ok.",3,0
Điện thoại mới mua được 2 hôm nhưng pin tụt nhanh và đặc biệt là máy rất nóng. Mới dùng được 1 lúc mà máy nóng ran không dám dùng lâu luôn.,2,0
Điện thoại mới mua bị nóng máy.....kiểm tra thấy không bị lỗi....sài mau tuột pin....sài cảm giác không an toàn.........lúc nào cũng lo sợ.... Cửa hàng thì không hổ trợ đổi ....rất tệ....,1,0
"Sao máy mới mua mà tụt pin nhanh hơn đồ cũ xài hơn 5, 6 năm nữa, đi gì mà mới bấm dc 30p nóng ran luôn, cắm xạc k đúng tới mà rờ vào nóng lắm luôn, sợ nó nổ không ah, thất vọng quá.",1,0
"Máy quá tệ, chip nóng, pin kém, ko ngon đâu mọi người.",1,0
Rất tốt.,5,1
"Ai nói gì nói: Nhưng mình dùng One UI 6.1 này là quá ổn, Máy hơi nóng là vì máy chạy Exynox 2200 là đúng, pin bật chế độ tiết kiệm, chơi hết ngày.",5,1
"Mình cũng mới mua 2 ngày, rất ân hận.",2,0
"Thất vọng về cái máy ni quá chụp ảnh xe máy ôtô qua đường mà nó bị mờ, ngồi trong hiên nhà soi camera ở ngoài đường, nhìn mặt đường trắng bệch đi, còn bàn phím thì nhiều khi ko dự đoán được từ Bixby ko hỗ trợ tiếng Việt.",2,0
Dùng tốt.,4,1
Máy up lên 6.1 nhanh nóng pin tuột tác vụ bình thường thôi mà mất 40% pin cho 1h18p on.,3,0
Máy chạy hơi châm.,3,0
Ok !,5,1
Nếu tư vấn pin trâu.Mms dùng dùng đi 1 ngày mà tuột nhanh hơn cả iphone.máy thì nó thực sự hối hận kinh khủng.,2,0
"Máy khá nóng dù chỉ dùng tác vụ nhẹ nhàng, chắc do chip Exynos, mọi người mua chú ý, sẽ phải đợi update .",3,0
"Mình sự dụng dòng này được 2 tuần, cái đầu tiên pin tuột nhanh, không dám sự dụng nhiều, bấm 10p nóng máy quá trời, bấm đổi cho cái thứ 2 thì không nóng máy nhiều như trước, nhưng bị lỗi ngồi kế bên mà vợ điện không vô , điện thoại làm ăn mà gọi lúc vô lúc không quá nản.",3,0
"M. mua sp nay khi mở ra luôn, mua về em k dùng mấy vì bận và còn đi cũ, khoảng 7 ngày sau khi sử dụng thì thấy máy nóng quá trời dù chỉ sau những ứng dụng bt, đem đi ra nhà coi nó máy nóng bỏ đi bạn cũng thế, nhưng giờ đọc đánh giá thì thấy nhiều trường hợp giống em quá. Giờ SV máy dùng hơn 4 tháng thì lúc máy nóng đêm máy đo thử hơn 40 , pin xuống nhanh, hơi hối hận khi mua máy vội mà chưa tìm hiểu nhau.",3,0
Máy lúc đầu chỉ dùng để qua đêm mất mấy chục phần trăm pin nhưng khi bật chế độ tiết kiệm pin thì cứ 1 đến 2 ngày máy dùng khi nóng dán cường lực thì máy k nhạy cho lắm.,4,1
"M. mới mua tối qua mà số máy xíu đã nóng ran, pin hao, lướt nhiều khi bấm chạm mãi máy chưa ăn.",2,0
"Máy rất tốt, xài pin kém, mua máy mới thua xài dòng máy cũ. Xài sáng giờ còn 38% pin quá tệ cho dòng máy thua xa con 21 fc. Mong hãng phản hồi lý do.",1,0
Mới mua con samsung U23 này đúng sai lầm...máy gì hao pin kinh khủng...ko sài pin 100% sáng mai còn 40% vãi thật..,2,0
Em mới mua máy được có mấy ngày mà sao nó hụt pin nhanh vậy anh?,2,0
"Máy khá đẹp nhưng nhược điểm là hao pin, viền dày. 10 người mua thì 9 người phàn nàn về pin, trong đó có mình.",3,0
Dt pin qua kem cam ung bam cu bu đơ luc ko an ... luc tu van bao pin xai thoai may trong ngay nhung thuc te qua kem.,1,0
"Pin trên sản phẩm này cực kì tệ luôn. Đã sử dụng rất nhiều biện pháp tiết kiệm pin mà pin vẫn tụt không phanh. Tư vấn viên TGDD nói rằng sản phẩm S23 FE này cái gì cũng hơn iPhone 13, pin trâu hơn, công nghệ tốt hơn, mà giá lại mềm hơn, giờ thì nghĩ lại thấy sai sai. Mua dòng S flagship mà không dám xài nhiều, sợ nó hết pin. Chuyển dữ liệu từ con Realme 10 4G sang con này mà sau 20 phút con Realme 10 còn 100% pin, con này tụt tầm 10% pin. Mua đâu phải rẻ đâu mà giờ hối hận không biết phải làm sao luôn.",2,0
"Khá hài lòng sản phẩm, nhân viên hỗ trợ nhiệt tình, cảm ơn tổnh.",5,1
"Pin xuống dốc thô phanh, bàn phím k dc mượt lắm, hay bị nóng, máy cầm để chụp hình có 15p mà máy nóng kinh khủng. Nói chung, trải nghiệm rất tệ.",2,0
Ai nói gì thì nói.. Nhưng cảm nhận của mình đang Sài máy Samsung galaxy s23fe rất tốt và ngon lành.Máy mình mua lúc mới 14 triệu 400k.. Máy Sài không nóng máy như mọi người nói.. pin thì Sài bình thường hơn 1 ngày.. Máy Samsung galaxy s23fe Sài mọi thứ điều tốt.,5,1
"Máy đẹp, cấu hình ổn nhưng máy rất hao pin, dùng vẫn tuột pin khá nhanh.",3,0
"Máy nóng rất nhanh, sử dụng tầm 30 phút là nóng muốn bỏng tay.",2,0
Máy rất đẹp và cấu hình ngon nhé.,5,1
Không nên mua và cũng không hài lòng cách phục vụ.,1,0
Máy mới dùng tốt.,5,1
"Máy lâu lâu có hiện tượng bấm cảm ứng ko ăn, chơi game thì rê di chuyển máy ko phản hồi, giờ đổi qua máy khác thì bay 20% phí. Thất vọng.",2,0
"Máy pin hơn 4 nghìn mà hao pin khủng khiếp, máy báo 6% pin là đã sập nguồn rồi, hối hận khi bỏ ra hơn 13 củ để rước em nó.",3,0
"Máy dùng hơi hao pin, xạc pin nhanh nhưng nóng, nhưng với mức giá này ok cho dòng số rồi.",4,1
"Máy nóng quá nhanh, sử dụng tầm 30p đã rất nóng, cảm giác nóng bỏng chứ không nóng bình thường như các loại điện khác. Thật sự không hài lòng và sử dụng điện thoại trong tâm trạng lo lắng bị cháy nổ.",1,0
"Xin cho hỏi.Mình mới mua samsung a35 khoảng 3 ngày ở TP HCM, Khu Công nghiệp Giao Long Bến Tre.Máy sử dụng khoảng 10 phút là pin rất nóng.Xin hỏi vậy mình đổi lại máy samsung a35 khác pin không bị nóng được ? ạ.",5,1
Good !,5,1
"Sản phẩm Samsung Galaxy A35 sử dụng rất tốt, cho shop 5 sao.",5,1
Mượt .,5,1
Hiện tại xài ổn.,5,1
"Dùng được 2 tháng, giờ mới để ý bị loang vệt ở mặt lưng, 2 chấm... Giờ bảo hành được không mọi người ơi.",1,0
"Pin tụt nhanh, Hỗ trợ mình kiểm pin máy dùm .",3,0
Hiện tại mình nghe thấy ok.,4,1
"Che moi 75% pin la may nong khep, nv cham soc te lam mat danh ba du lieu tren sim cua minh. Thua xa note 10+ minh xai.",2,0
"Mọi thứ đều rất ổn , nó nóng như mình nghĩ, mình bỏ túi quần đứng phơi nắng gần 3 tiếng đặc thù công việc , ấm nhẹ , còn con S22 Ultra nó nóng rõ rệt . Pin cũng ko tụt lắm , để qua đêm tụt 1 hoặc 2 km. Game thì tối ưu cực tốt, mình bật game ngủ quên , nó tự động giảm độ sáng chứ ko khóa màn hình, 5 tiếng sau tụt có 20% hơi ấm chút thôi, đủ biết nó trâu như nào , chứ con S22 là nó tụt gấp đôi.. Riêng bút S pen chắc cỡ S23U thôi , ko cải thiện gì khác, đủ dùng.. Nhân viên ở Số 1 ĐL Hùng Vương, Cam Ranh , Khánh Hòa hỗ trợ rất nhiệt tình , rất hài lòng.",5,1
"Sản phẩm đẹp, không chê vào đâu được.",5,1
Chup hình xấu: Message kết nối mạng quá lâu.,1,0
Điện thoại dùng ổn.,5,1
"Pin dùng không như mong mơ, để chế độ tiết kiệm pin và hiệu năng thấp vẫn tụt nhanh hơn định mức.",3,0
"Máy mình để không bị tụt pin và sẽ thấy pin nhanh hết hơn so với mức định pin, mong em có thể hỗ trợ mình ạ.",3,0
Chụp hình xấu dã man. Có lúc xem phim giựt giựt. Quá thất vọng.,1,0
"Cái ốp lưng tặng quá tệ, xài có vài ngày nó xước hết viền luôn. Tiếc cái viền.",2,0
Good !,5,1
"Cái ốp lưng thật là tệ, làm mất giá của máy. thà ko tặng còn hơn.",3,0
"Khóa vân tay dở tệ . Ko xài cường lực mà mở lên mở xuống ko dc. Thua ss A54.. Ss A54 tay bẩn mở vẫn ok. Trải nghiệm tệ. Biết vậy, chuyển 15promax .",3,0
"Điện thoại mình đã chơi game lâu lâu, nó cứ xuất hiện mấy đường sọc chớp nhoáng tầm 2s rồi mất, z lỗi này có được đổi đất mới ko ad, mình chưa thấy ai bị lỗi này ở S24U. Mình mua đất mới được 8 ngày.",5,1
Dùng được 1 tháng rồi mọi thứ tốt.Nhưng khi sử dụng ngoài trời thì máy nóng quá.,4,1
"Toàn thấy chê nhỉ. Đây mua máy về dùng ưng ơi là ưng, pin tốt. Máy mát, mượt, cam đẹp, Ai ngon.",5,1
Ốp tặng kèm rởm bụi vào xước dăm hết cả viền.,1,0
Dùng keo tốt lắm. Hoàn thiện kém và màn hình thì tệ hơn cả 73 củ của mình.,3,0
"Tôi thấy chưa cải tiến về khóa vâng tay, tui đang dùng máy cái samsum roi, khóa vâng tay khá nhạy cảm, vẫn thua iPhone chỗ khóa vâng tay.",3,0
Mua giá cọc mà còn mắc hơn lúc mua online. Chê .,2,0
"1 sao vì phần quà tặng ốp lưng quá tệ, ốp thì cứng, lắp vào thì cào xước hết phần thành của điện thoại.. t.gdd : test phần quà tặng trước khi tặng à?",1,0
"Màn mình S24ultra năm nay xấu tệ, camera chụp ảnh bị noise nhiều, pin nhanh hết, tóm lại thua S23ul rất xa. Hối hận khi mua S24ultra .",1,0
"Có chức năng gọi điện, truy cập Internet qua WiFi, chụp hình ảnh, quay video clip. Có thể tải zalo về để gọi điện. Phát wifi tốc độ cao.",5,1
"Đặt cọc để sở hữu sớm mà giá cao hơn ko cọc, lại còn không được tặng tai nghe nữa, quá chán. Việc làm ăn kiểu này sẽ sớm mất hết khách hàng.",1,0
"Camera zoom gần bị lỗi lệch, chủ thể có được đổi máy không shop ơi?.",5,1
Sao trên này báo 28.9 mà ra cửa hàng mua 30.9 vậy ảo thật đấy!,1,0
Sản phẩm ok?,5,1
"Giờ được tặng tai nghe, mới mua 2 bữa trước không có tặng. Vậy giờ có đc tặng thêm k ad?",3,0
Đặt cọc trước mà giá vé quà còn thua bây giờ.. Chưa hiểu TGDĐ làm ăn kiểu gì.,3,0
"Đặt cọc trước, là 1 trong những người đầu tiên sở hữu bản thương mại mà giờ mua online giá còn rẻ hơn, lại có thêm quà nữa. Nay cạch TGDĐ luôn!",1,0
"Mua đặt cọc mà giá đắt hơn cả chỗ cọc. Cách nhau có 1 tuần mà giá cách nhau 5 triệu... Thế này thì lần sau sang chỗ khác mua thôi, từ bỏ cọc luôn.",4,1
"Tôi mua 3 cái: Đặt cọc trước, giảm tổng 6 tr.Mà bây giờ giá và quà tặng còn giá trị hơn cả việc đặt cọc trước. Tôi không hiểu chính sách bán hàng của TGDD như thế nào nữa.",1,0
"Mua không hề có giảm giá 3 khi cọc nhé mà chỉ bằng giá người mua bình thường, không cọc thôi.. Lần sau, mọi người nên xem xét việc cọ.",1,0
Mua đặt cọc mắc hơn mua không cọc .,1,0
"Máy đẹp, chất liệu titan bền, chụp ảnh zoom xa, lướt mượt, tính năng AI khá hay, tài ok nha.",5,1
Dùng máy hơi nóng. Nhưng cũng OK.,4,1
"Máy khi sạc khá nóng, chỉ lướt facebook, đọc báo nhẹ nhàng, tắt hết Gps, 4g, các kết nối mà máy khá nóng. Không rõ là do mới mua chưa ổn định hay gì.",3,0
"Dùng mượt, camera ổn, các tính năng đều ổn.",4,1
Sai ok nhé!,4,1
"Xài tốt, hình ảnh rõ nét.",5,1
"Mình đã nhận máy từ bữa ra mắt 27/01.. Mọi thứ đều tốt ngoại trừ màn hình. Nếu các bạn có đọc review trên các trang mạng thì như mọi người đã bàn, màn hình của S24 plus bị ám xám, màu sắc nhợt nhạt... Nhìn xấu hơn rất nhiều so với các dòng điện thoại trước. Đây là vấn đề chung của series này, mình không biết Samsung có thể khắc phục được lỗi này bằng các bản cập nhật tiếp theo hay không.. Nếu không thể thì thực sự rất tệ.",3,0
"Máy đẹp, khá hoàn thiện, nên tận tâm.",5,1
"Máy mình mua 3 tháng hai, hôm nay cứ báo ẩm chân sạch.. hộ trợ.",4,1
"Sd rất là mượt , sao 2 tháng Sd rất tốt nhe mấy bạn. Có 1 nhược điểm cam khá xấu , nó tróc xi phần viền camera nha mấy pro .và máy sẽ khá nhanh nóng.Xem yotube thôi, tầm 20p bao ấm cầm rất khó chịu nhé. 8/10 nhé, tầm mấy con khác ko có tuổi nhé.. .Nên mua loa đôi nghe nhạc khá hay.",5,1
Máy mình messenger thì thấy được camera trc và sau.... Chỉ nhìn thấy ông khác còn ông ta thì thấy được mình. Camera chụp ảnh trc sau vẫn bình thường.. Cho mình hỏi nó bị gì vậy ạ. Mình đã xóa messenger và tải lại vẫn bị như vậy.,5,1
"Máy sài rất tốt, mình rất hài lòng.",5,1
"Máy mọi chức năng đều ổn, trừ khoản bắt sóng 4G cực kỳ kém. Cùng 1 nhà mạng 2 máy khác nhau, 1 máy thì sóng gió chạy ầm ầm, A34 thì vào 4G như rùa bò, nhiều khi không vào được zl, f... luôn. Ai ở khu vực sóng hơi kém nên cân nhắc khi mua con này nhé.",1,0
Cảm ứng chưa nhạy lắm.,3,0
"Máy mới mua 6 tháng , giờ cứ báo độ ẩm chân sạch. Trong khi đó giữ rất kỹ , không rớt nước.Thua luôn.",2,0
